,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
3591,120000.0,42.0,-34.6293468,-58.4353111,Caballito
3592,200000.0,72.0,-34.5976878,-58.4340387,Villa Crespo
3593,75000.0,32.0,-34.577168,-58.538654,Villa del Parque
3594,100000.0,52.0,-34.637834,-58.503098,Villa Luro
3595,100000.0,42.0,-34.5888927,-58.5085653,Villa Devoto
3596,80000.0,44.0,-34.6115557,-58.4102154,Balvanera
3597,75845.46,42.0,-34.631591,-58.370191,Barracas
3598,115000.0,82.0,-34.60453,-58.39463,Balvanera
3599,210000.0,86.0,-34.6036844,-58.3815591,Coghlan
3600,110000.0,38.0,-34.556844,-58.457941,Belgrano
3601,142600.0,31.0,-34.567984,-58.4337562,Las Cañitas
3602,200000.0,50.0,-34.5496870424,-58.467528104,Nuñez
3603,145000.0,66.0,-34.614703,-58.438833,Caballito
3604,99000.0,50.0,-34.5999689,-58.3768192,Retiro
3605,99700.0,47.0,-34.5703376,-58.4425508,Colegiales
3606,95000.0,35.0,-34.556809,-58.457834,Belgrano
3607,115000.0,63.0,-34.625316,-58.467693,Flores
3608,315000.0,79.0,-34.567079,-58.451879,Belgrano
3609,180000.0,87.0,-34.615138,-58.3992878,Balvanera
3610,158000.0,92.0,-34.6415407158,-58.5167060944,Liniers
3611,172000.0,71.0,-34.615921,-58.393128,Balvanera
3612,85000.0,43.0,-34.6187853,-58.4791827,Flores
3613,94500.0,55.0,-34.6451582,-58.4907929,Parque Avellaneda
3614,118974.0,49.0,,,San Telmo
3615,110000.0,82.0,,,Floresta
3616,105000.0,34.0,-34.5538454266,-58.4919050998,Saavedra
3617,210000.0,74.0,-34.546338,-58.458899,Nuñez
3618,138000.0,78.0,-34.60559,-58.458896,Paternal
3619,185000.0,70.0,-34.5692991,-58.4498983,Belgrano
3620,229700.0,70.0,-34.5792764,-58.4548802,Villa Ortuzar
3621,114000.0,47.0,-34.577645,-58.495653,Villa Urquiza
3622,199000.0,95.0,-34.6138646386,-58.4267239253,Caballito
3623,177000.0,40.0,-34.5680472,-58.452962,Belgrano
3624,65000.0,54.0,-34.666197,-58.48118,Villa Lugano
3625,110000.0,35.0,-34.5706702,-58.4408266,Belgrano
3626,90000.0,35.0,-34.6555941,-58.5182496,Mataderos
3627,68000.0,37.0,-34.6184351,-58.4657756,Flores
3628,117000.0,79.0,-34.611506,-58.411067,Balvanera
3629,227760.01,70.0,-34.56822,-58.458337,Belgrano
3630,125000.0,59.0,-34.6465128,-58.488904,Floresta
3631,100035.51,42.0,-34.6321116,-58.3703982,Barracas
3632,210000.0,52.0,-34.5888694,-58.3913369,Barrio Norte
3633,90000.0,72.0,,,Barracas
3634,105000.0,43.0,-34.563925,-58.480278,Coghlan
3635,108000.0,51.0,-34.5987208,-58.4404368,Villa Crespo
3636,118000.0,40.0,-34.583705,-58.433254,Palermo
3637,289000.0,91.0,-34.5969642626,-58.3862584307,Tribunales
3638,147000.0,48.0,-34.598615,-58.3970315,Barrio Norte
3639,77000.0,31.0,-34.59961,-58.396875,Recoleta
3640,96000.0,65.0,-34.6259133294,-58.5064738543,Villa Devoto
3641,98000.0,36.0,-34.5647507,-58.4891059,Villa Urquiza
3642,79000.0,35.0,-34.627366,-58.507638,Villa Luro
3643,76000.0,36.0,-34.6052532843,-58.4936738106,Villa del Parque
3644,135000.0,67.0,-34.616512,-58.4436838,Caballito
3645,82000.0,38.0,-34.6117136,-58.4605517,Caballito
3646,73000.0,38.0,-34.617058,-58.445235,Caballito
3647,108045.0,35.0,-34.6148483,-58.4604643,Caballito
3648,148000.0,47.0,-34.587953,-58.414446,Palermo
3649,88900.0,50.0,-34.63957,-58.465294,Flores
3650,115000.0,64.0,,,
3651,110000.0,41.0,-34.5522,-58.462844,Nuñez
3652,54700.0,44.0,-34.549741,-58.48622,Saavedra
3653,199000.0,93.0,-34.618499,-58.470407,Caballito
3654,95000.0,40.0,-34.6047969,-58.454126,Villa Crespo
3655,85000.0,50.0,-34.5800803,-58.4920978,Villa Urquiza
3656,155000.0,50.0,-34.5558424,-58.457783,Belgrano
3657,129000.0,78.0,-34.624859,-58.3712223,Barracas
3658,215000.0,70.0,-34.5551436,-58.455652,Belgrano
3659,330000.0,100.0,-34.6405489,-58.5299296,Villa Luro
3660,172334.32,61.0,-34.6226773,-58.3667589,San Telmo
3661,300000.0,87.0,-34.5946557,-58.3877428,Retiro
3662,129000.0,54.0,-34.593089,-58.431762,Palermo
3663,99000.0,68.0,-34.6010588,-58.4609647,Villa Crespo
3664,13811.6,80.0,-34.6213159,-58.4604526798,Caballito
3665,65000.0,43.0,-34.6240024,-58.3905883,Constitución
3666,90000.0,47.0,-34.624892,-58.374975,San Telmo
3667,155000.0,74.0,-34.6152189,-58.383156,Monserrat
3668,139900.0,86.0,-34.603785,-58.488625,Villa del Parque
3669,131040.0,41.0,-34.5710926,-58.4846052,Villa Urquiza
3670,123500.0,40.0,-34.5542242,-58.4678339,Nuñez
3671,80000.0,42.0,-34.6091668,-58.3892118,Balvanera
3672,110000.0,38.0,-34.5428883979,-58.4807938485,Saavedra
3673,98000.0,60.0,-34.5958969,-58.4715637,Paternal
3674,130000.0,40.0,-34.5977779,-58.4182712,Palermo
3675,174000.0,66.0,-34.6223398871,-58.4085322312,San Cristobal
3676,99000.0,37.0,-34.5715748,-58.4557069,Colegiales
3677,178000.0,70.0,-34.5684815,-58.4513388,Belgrano
3678,235000.0,90.0,-34.5937383,-58.4034056,Barrio Norte
3679,115000.0,60.0,-34.6115734,-58.4180781,Almagro
3680,330000.0,65.0,-34.5607742,-58.4606278,Belgrano
3681,180000.0,50.0,-34.59146,-58.406432,Recoleta
3682,235000.0,100.0,-34.595688,-58.4031864,Palermo
3683,119000.0,96.0,-34.6276516,-58.4679307,Flores
3684,170000.0,60.0,-34.6037137392,-58.3815808896,Palermo
3685,118000.0,50.0,-34.6038532,-58.430481,Almagro
3686,189237.0,71.0,-34.61098,-58.417856,Almagro
3687,105000.0,51.0,-34.616045,-58.393664,Balvanera
3688,94000.0,44.0,-34.6009862,-58.408268,Once
3689,160000.0,89.0,,,Congreso
3690,89500.0,40.0,-34.6202466,-58.4165902,Almagro
3691,90000.0,36.0,-34.6429944802,-58.5109918442,Liniers
3692,64000.0,35.0,-34.5745302,-58.4928592,Villa Urquiza
3693,257000.0,94.0,-34.5950091015,-58.3845022037,Barrio Norte
